Position,Cost Per Hire,Company Stage,Company Location,Notable Investor(s),Recruiter Name
"Software Engineering Manager, Platform and Applications",$4.0K,Seed,"Berkeley, CA",Y Combinator,View Recruiter
Smart Contract / Blockchain Engineer,$6.6K,Seed,"Detroit, MI",Ambient,View Recruiter
Integration Engineer,$3.2K,Seed,"Berkeley, CA",Y Combinator,View Recruiter
"Senior Software Engineer, Platform Tooling",$23.4K,Series A,"Boston, MA","Atlassian Ventures, Tiger Global Management, Slack Fund",View Recruiter
Founding Software Engineer,$6.9K,Seed,"New York, NY","South Park Commons, Tau Ventures",View Recruiter
Account Executive,$9.0K,Series A,"New York, NY",Fiat Ventures,View Recruiter
People Operations Lead,$3.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Product Designer,$10.5K,Series A,"New York, NY",Scale Ventures,View Recruiter
Smart Contract / Blockchain Engineer,$6.6K,Seed,"Detroit, MI",Ambient,View Recruiter
Enterprise Customer Success Manager,$2.9K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Software Engineer - Frontend,$7.8K,Series A,"San Francisco, CA","Andreessen Horowitz, Tiger Global",View Recruiter
"Software Engineer, Fullstack (San Francisco)",$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Senior Leadership Experience Designer,$3.0K,Seed,"San Francisco, CA",Reach Capital,View Recruiter
Founding AE,$1.0K,Pre-seed,"Spokane, WA",–,View Recruiter
GTM Associate,$3.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
iOS Engineer,$7.3K,Seed,"New York, NY","Sequoia Capital, BoxGroup",View Recruiter
Generalist Engineer (Full Stack),$5.1K,Seed,"Brooklyn, NY",Y Combinator,View Recruiter
Senior Software Backend Engineer,$7.8K,Series A,"San Francisco, CA",Northzone,View Recruiter
Senior iOS Engineer,$17.6K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Senior Technical Customer Support Associate,$7.0K,Series B,"Dallas, TX","Insight Partners, Story Ventures",View Recruiter
Backend Engineer,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Full Stack Software Engineer,$18.5K,Series A,"New York, NY",Y Combinator and Craft Ventures,View Recruiter
Senior Software Engineer: Backend Product,$2.8K,Seed,"San Francisco, CA",–,View Recruiter
Enterprise Account Executive,$6.1K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Full Stack Software Engineer,$3.1K,Series A,"San Francisco, CA",Y Combinator and Craft Ventures,View Recruiter
Account Executive,$6.0K,Series A,"San Francisco, CA",Northzone,View Recruiter
General Counsel,$5.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Principal Wealth Manager,$6.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Software Engineer,$15.7K,Seed,"Glen Cove, NY",Forerunner and Pear VC,View Recruiter
Research Engineer,$0.6K,Seed,"San Francisco, CA",–,View Recruiter
"Software Engineer, Fullstack (San Francisco)",$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Clinical Trial Associate,$1.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
"Research Associate, Antibody + New Modalities",$1.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Customer Support Specialist,$5.0K,Series A,"New York, NY","Bessemer, Coatue, Bedrock, Base10",View Recruiter
Education Analyst,$0.9K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Associate - Strategy and Operations,$3.2K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Smart Contract / Blockchain Engineer,$9.9K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
"Senior Strategic Growth Associate, Advisor Recruiting",$4.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Enterprise Customer Success Manager,$8.0K,Series A,"San Francisco, CA",Northzone,View Recruiter
Senior Software Backend Engineer,$2.9K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Customer Success Manager,$7.0K,Series B,"New York, NY",General Catalyst,View Recruiter
Product Designer,$5.0K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Implementation Manager,$3.5K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
"Research Associate, Antibody + New Modalities",$1.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Customer Support Specialist,$5.2K,Series A,"New York, NY","Bessemer, Coatue, Bedrock, Base10",View Recruiter
Senior Software Engineer,$6.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Enterprise Account Executive,$3.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Account Executive SMB,$5.0K,Seed,"New York, NY","Kleiner Perkins, Bedrock Capital",View Recruiter
"Senior Software Engineer, Frontend (North America)",$5.6K,Series C+,"Cambridge, MA",Public Company,View Recruiter
Chief of Staff,$3.0K,Seed,"New York, NY","Sequoia Capital, BoxGroup",View Recruiter
Software Engineer,$0.6K,Seed,"San Francisco, CA",–,View Recruiter
Advisor Success Manager,$2.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Backend Engineer,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Android Engineer,$17.6K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Senior Software Engineer,$5.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
General Counsel,$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Customer Success Manager,$9.0K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
Principal Investigator (Medical Doctor),$3.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Backend Engineer,$3.0K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
Product Designer,$5.3K,Series A,"Denver, Colorado",VMG Partners,View Recruiter
Backend Engineer,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Account Executive,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Mental Health Therapist,$1.1K,Seed,"New York, NY",Village Global,View Recruiter
Senior Client Associate,$5.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
QA Engineer,$5.1K,Series A,"Denver, Colorado",VMG Partners,View Recruiter
Backend Engineer,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Enterprise Account Executive,$7.1K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Customer Success,$10.8K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Finance and Biz Ops Associate,$3.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Android Engineer,$8.2K,Series A,"San Francisco, CA",Bling Capital,View Recruiter
Customer Success Manager,$5.0K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
Marketing Campaign Specialist - Client Marketing & Acquisition,$5.8K,Series B,"New York, NY","Index Ventures, The Weeknd, Post Malone",View Recruiter
"Senior Strategic Growth Associate, Advisor Recruiting",$4.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
"Software Engineer, Full-Stack",$5.0K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Engineering Manager,$8.2K,Series A,"San Francisco, CA",Bling Capital,View Recruiter
Enterprise Business Development Representative,$6.3K,Series B,"San Francisco, CA","Y Combinator, Tola Capital, Scale Ventures",View Recruiter
Mental Health Therapist,$1.1K,Seed,"New York, NY",Village Global,View Recruiter
Sales Development Representative,$2.8K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Strategic Finance Lead,$6.0K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Fullstack Web Engineer,$8.2K,Series A,"San Francisco, CA",Bling Capital,View Recruiter
Senior Product Designer,$4.3K,Seed,"New York, NY","Sequoia Capital, BoxGroup",View Recruiter
Founding Senior Software Engineer,$4.2K,Seed,"San Francisco, CA",Reach Capital,View Recruiter
Customer Success Manager,$6.5K,Series A,"New York, NY",Scale Ventures,View Recruiter
Business Development Representative,$4.5K,Series A,"San Francisco, CA",Northzone,View Recruiter
Enterprise Customer Success Manager,$2.9K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Backend Engineer,$4.0K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
"Customer Success Manager, SMB",$3.5K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
UXR Associate,$2.7K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
"QA Analyst, Manual Testing",$1.0K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
"Software Engineer, Full-Stack",$4.5K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Sales Development Representative,$2.8K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Executive Director - Ophthalmology,$9.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Content Marketing Manager,$9.0K,Series A,"New York, NY",Fiat Ventures,View Recruiter
"Software Engineer, Full-Stack",$4.5K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Associate Product Manager - Data Integrations,$5.0K,Series B,"Dallas, TX","Insight Partners, Story Ventures",View Recruiter
Senior Product Designer,$4.8K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Principal Wealth Manager,$6.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
AI Solutions Lead,$5.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Chief of Staff,$3.7K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
Senior Enterprise Account Executive,$5.8K,Series B,"New York, NY","Index Ventures, The Weeknd, Post Malone",View Recruiter
Regulatory Writing Research Associate,$1.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
AI Staff Software Engineer,$10.5K,Series A,"New York, NY",Scale Ventures,View Recruiter
Senior Software Engineer,$6.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Fullstack Engineer,$5.4K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Marketing Generalist,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Backend Engineer,$3.5K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
Enterprise Account Executive,$7.1K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Software Engineer - Frontend,$7.8K,Series A,"San Francisco, CA","Andreessen Horowitz, Tiger Global",View Recruiter
Software Engineer - Backend,$3.0K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
Business Development Representative,$5.4K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Vertical Marketing Lead,$4.4K,Series C+,"Lehi, UT","Y Combinator, Summit Partners, Accel",View Recruiter
Enterprise Account Executive,$5.2K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Marketing Director,$4.5K,Series A,"Mountain View, CA","Y Combinator, Spero Ventures",View Recruiter
Controller,$4.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Software Engineer - Backend,$4.0K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
"Software Engineer, Backend & Integrations",$4.8K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Enterprise Business Development Representative,$9.4K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
Processing Facility Specialist,$3.1K,Series A,"San Francisco, CA",Y Combinator and Craft Ventures,View Recruiter
Director of Business Development & Licensing,$8.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Marketing Campaign Specialist - Client Marketing & Acquisition,$8.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Data Engineer,$5.8K,Series A,"Victoria, Canada",Lightspeed and Bain,View Recruiter
Smart Contract / Blockchain Engineer,$6.6K,Seed,"Detroit, MI",Ambient,View Recruiter
Accounts Receivable Coordinator,$1.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Analytics Engineer,$8.1K,Series B,"New York, NY",General Catalyst,View Recruiter
Business Development Representative,$3.7K,Series A,"San Francisco, CA",Northzone,View Recruiter
Associate - Strategy,$2.7K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
Director of Engineering,$6.5K,Series A,"San Francisco, CA",Northzone,View Recruiter
Chief of Staff - Rebates,$5.2K,Seed,"New York, NY","Sequoia Capital, BoxGroup",View Recruiter
Processing Facility Specialist,$3.1K,Series A,"San Francisco, CA",Y Combinator and Craft Ventures,View Recruiter
Revenue Operations Specialist,$8.0K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
"Software Engineer, Backend & Integrations",$4.8K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Head of Quality,$4.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Office Manager,$4.5K,Series A,"Mountain View, CA","Y Combinator, Spero Ventures",View Recruiter
Principal Wealth Manager,$6.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Customer Support Specialist,$5.3K,Series A,"New York, NY","Bessemer, Coatue, Bedrock, Base10",View Recruiter
Head Of Sales,$7.6K,Series A,"San Francisco, CA",Northzone,View Recruiter
Full Stack Technical Lead,$0.9K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Software Engineer,$10.0K,Series B,"San Francisco, CA",Waterline Ventures,View Recruiter
Frontend Engineer,$10.0K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Fullstack Engineer,$5.4K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Software Engineer,$5.8K,Series B,"New York, NY","Index Ventures, The Weeknd, Post Malone",View Recruiter
Customer Success Manager,$6.5K,Series A,"New York, NY",Scale Ventures,View Recruiter
Senior Full Stack Engineer,$2.9K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Solutions Advisor,$11.0K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Senior Software Engineer,$12.0K,Seed,"Glen Cove, NY",Forerunner and Pear VC,View Recruiter
"Research Associate, Antibody + New Modalities",$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Director Of Customer Success,$6.3K,Series A,"Fort Wayne, IN","Altair Capital, Funder's Club, Garage Capital",View Recruiter
Product Design Intern,$2.7K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
Project Manager,$4.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Technical Customer Support Associate,$7.0K,Series B,"Dallas, TX","Insight Partners, Story Ventures",View Recruiter
Enterprise Account Executive,$5.8K,Series A,"Victoria, Canada",Lightspeed and Bain,View Recruiter
Integrated Marketing Lead,$7.1K,Series B,"New York, NY",General Catalyst,View Recruiter
Product Marketer,$3.1K,Series A,"San Francisco, CA",Y Combinator and Craft Ventures,View Recruiter
Solutions Advisor,$10.5K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Founding Backend Engineer,$13.1K,Seed,"San Francisco, CA",Andreessen Horowitz,View Recruiter
Accounts Payable Specialist,$2.7K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
Implementation Manager,$2.1K,Series A,"Fort Wayne, IN","Altair Capital, Funder's Club, Garage Capital",View Recruiter
Business Development Representative,$4.0K,Series A,"San Francisco, CA",Northzone,View Recruiter
Sales Development Representative,$2.8K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Associate - Competitive Intelligence,$2.2K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Product Designer,$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Product Support Specialist,$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Full Stack Software Engineer,$13.5K,Series A,"New York, NY",Y Combinator and Craft Ventures,View Recruiter
Product Trainer,$2.7K,Seed,"New York, NY","Sequoia Capital, Bling Capital, BoxGroup",View Recruiter
Founding Software Engineer,$7.2K,Seed,"Burlingame, CA",John Danner,View Recruiter
Software Engineer,$5.8K,Series B,"New York, NY","Index Ventures, The Weeknd, Post Malone",View Recruiter
"Senior Software Engineer, Platform Tooling",$29.7K,Series C+,"San Francisco, CA","Insight Partners, Felicis, Coatue",View Recruiter
Customer Support Specialist,$5.2K,Series A,"New York, NY","Bessemer, Coatue, Bedrock, Base10",View Recruiter
Senior Software Backend Engineer,$6.8K,Series A,"San Francisco, CA",Northzone,View Recruiter
Senior Client Associate,$5.8K,Series B,"New York, NY","Index Ventures, The Weeknd, Post Malone",View Recruiter
Accounts Receivable Coordinator,$1.2K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Salt Lake City Field Account Executive,$6.4K,Series C+,"Lehi, UT","Y Combinator, Summit Partners, Accel",View Recruiter
Sales Development Representative,$2.8K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Senior iOS Engineer,$15.0K,Series A,"San Francisco, CA",Bling Capital,View Recruiter
Product Designer,$3.1K,Series A,"San Francisco, CA",Y Combinator and Craft Ventures,View Recruiter
Implementation Manager,$2.1K,Series A,"Fort Wayne, IN","Altair Capital, Funder's Club, Garage Capital",View Recruiter
Technical Customer Success Manager - East Coast,$10.1K,Series B,"Dallas, TX","Insight Partners, Story Ventures",View Recruiter
Principal Wealth Manager,$6.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Product Marketing Content Writer,$10.8K,Series A,"New York, NY",Scale Ventures,View Recruiter
Senior Enterprise Account Executive,$3.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Software Engineering Intern,$1.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
SDR,$8.1K,Series B,"San Francisco, CA","Founders Fund, Bain Capital, Thrive Capital",View Recruiter
Launch Operations Analyst,$7.2K,Series A,"New York, NY","Bessemer, Coatue, Bedrock, Base10",View Recruiter
Implementation Manager,$4.5K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Customer Success Associate,$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Senior Product Designer,$10.2K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Senior Backend Engineer,$8.0K,Series A,"New York, NY",Y Combinator and Craft Ventures,View Recruiter
"Research Associate, Antibody + New Modalities",$2.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Product Trainer,$2.7K,Seed,"New York, NY","Sequoia Capital, Bling Capital, BoxGroup",View Recruiter
Business Analyst,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Small Business Account Executive (UK/Ireland),$5.6K,Series C+,"Cambridge, MA",Public Company,View Recruiter
Professional Services Engineer,$5.0K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Generalist Engineer (Full Stack),$5.1K,Seed,"Brooklyn, NY",Y Combinator,View Recruiter
Graphic Designer,$9.5K,Series A,"New York, NY",Scale Ventures,View Recruiter
Head Of Customer Success,$15.0K,Series A,"New York, NY","Index Ventures, Y Combinator",View Recruiter
Software Engineer Intern,$1.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Product Trainer,$2.7K,Seed,"New York, NY","Sequoia Capital, Bling Capital, BoxGroup",View Recruiter
Growth Marketing Manager,$2.1K,Series A,"Fort Wayne, IN","Altair Capital, Funder's Club, Garage Capital",View Recruiter
Implementation Manager,$8.9K,Series B,"San Francisco, CA",Waterline Ventures,View Recruiter
Strategy and Operations Associate,$1.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Backend Engineer,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Sales Development Representative,$2.8K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
Principal Wealth Manager,$5.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Implementation Team Lead,$11.0K,Series C+,"New York, NY","Navitas Capital, Sapphine Ventures",View Recruiter
Account Executive,$9.0K,Series A,"New York, NY",Fiat Ventures,View Recruiter
"Research Assistant, Antibody and New Modalities",$3.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Frontend Engineer,$10.5K,Series A,"New York, NY",Scale Ventures,View Recruiter
Technical Customer Success Manager,$6.0K,Series B,"Dallas, TX","Insight Partners, Story Ventures",View Recruiter
Customer Success Manager,$6.3K,Series A,"New York, NY",Northzone,View Recruiter
Product Analyst (Remote - Ireland),$5.6K,Series C+,"Cambridge, MA",Public Company,View Recruiter
AI Technical Product Manager,$13.0K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
"Research Associate - Antibodies, Small Molecule, Oligos",$3.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Software Engineer - Backend,$2.5K,Series A,"Palo Alto, CA",Insight Partners,View Recruiter
Executive Assistant,$5.6K,Series C+,"Cambridge, MA",Public Company,View Recruiter
Senior Technical Customer Support Associate,$7.0K,Series B,"Dallas, TX","Insight Partners, Story Ventures",View Recruiter
"Software Engineer, Fullstack (San Francisco)",$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
User Experience Researcher,$4.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Enterprise Account Executive,$7.1K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Product Designer,$6.0K,Series A,"San Francisco, CA","Founders Fund, Andreessen Horowitz",View Recruiter
"Senior Software Engineer, Frontend",$4.1K,Seed,"New York, NY","Kleiner Perkins, Bedrock Capital",View Recruiter
"Medical Director, MD",$5.5K,–,"Baltimore , MD",–,View Recruiter
Clinical Social Worker,$2.7K,Seed,"New York, NY",Village Global,View Recruiter
Chief of Staff,$3.0K,Pre-Seed,"San Francisco, CA",–,View Recruiter
Head of Operations,$2.9K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Associate Editor,$2.7K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Assistant Editor,$4.2K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
"Research Associate, Antibodies",$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Assistant Director of Admissions (7 months contract),$0.5K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Licensed Mental Health Counselor (LMHC) - Remote Teletherapy,$0.6K,Seed,"New York, NY",Javelin Ventures,View Recruiter
